Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
9 Mar,0.0,0.0,0.0,0.0,27.3,31.5,24.6,8.6,42.1
10 Mar,0.0,0.0,0.0,0.0,27.3,31.6,25.1,8.6,43.6
11 Mar,0.0,0.0,0.0,0.0,27.8,32.9,24.9,8.9,40.7
12 Mar,0.0,0.0,0.0,0.0,27.7,32.6,25.2,9.1,38.2
13 Mar,0.0,0.0,0.0,0.0,28.1,34.1,25.1,7.4,35.3
14 Mar,0.0,0.0,0.0,0.0,28.4,33.2,25.3,7.4,37.8
15 Mar,3.8,3.6,3.6,3.8,27.7,30.7,26.0,9.1,38.5
16 Mar,25.4,6.2,8.6,15.8,25.7,27.2,23.8,5.7,45.7
17 Mar,11.0,5.0,7.0,7.2,25.9,27.8,24.7,5.1,29.2
18 Mar,15.8,9.2,10.4,14.2,26.3,29.8,24.9,5.2,35.6
19 Mar,0.0,0.0,0.0,0.0,26.5,30.4,24.6,4.8,33.1
20 Mar,42.2,20.6,34.6,42.2,26.8,32.2,24.3,4.5,25.2
21 Mar,1.6,1.6,1.6,1.6,27.1,31.6,24.9,5.5,24.8
22 Mar,0.0,0.0,0.0,0.0,27.3,30.2,25.1,6.4,34.6
23 Mar,0.0,0.0,0.0,0.0,27.6,32.0,24.7,7.6,36.4
24 Mar,0.0,0.0,0.0,0.0,27.9,32.2,25.1,7.3,34.2
25 Mar,0.0,0.0,0.0,0.0,28.1,32.8,25.5,8.3,34.9
26 Mar,0.0,0.0,0.0,0.0,28.3,32.0,25.9,6.4,32.0
27 Mar,0.0,0.0,0.0,0.0,28.4,32.3,25.8,7.2,32.8
28 Mar,0.0,0.0,0.0,0.0,28.4,32.2,26.2,8.5,37.8
29 Mar,0.0,0.0,0.0,0.0,28.1,32.7,26.4,5.9,28.1
30 Mar,0.0,0.0,0.0,0.0,28.4,32.6,26.2,7.0,26.3
31 Mar,0.0,0.0,0.0,0.0,28.8,33.7,26.9,8.6,37.4
1 Feb,0.0,0.0,0.0,0.0,26.1,32.8,23.0,7.7,38.2
2 Feb,0.0,0.0,0.0,0.0,25.7,30.3,23.4,7.2,33.1
3 Feb,0.0,0.0,0.0,0.0,26.1,31.0,23.6,7.0,29.5
4 Feb,0.0,0.0,0.0,0.0,26.4,31.2,23.6,7.4,31.0
5 Feb,0.0,0.0,0.0,0.0,26.2,31.6,23.3,7.4,32.0
6 Feb,0.0,0.0,0.0,0.0,26.5,31.8,23.5,7.2,33.1
7 Feb,0.0,0.0,0.0,0.0,26.5,31.5,24.1,6.8,31.3
8 Feb,0.0,0.0,0.0,0.0,26.6,31.4,24.4,6.3,31.3
9 Feb,0.4,0.2,0.2,0.2,27.0,31.7,24.7,6.8,30.2
10 Feb,0.0,0.0,0.0,0.0,27.5,32.2,24.6,6.2,30.6
11 Feb,0.0,0.0,0.0,0.0,27.5,32.2,25.0,6.2,34.6
12 Feb,0.0,0.0,0.0,0.0,27.3,32.4,24.6,8.3,38.2
13 Feb,0.0,0.0,0.0,0.0,27.6,33.1,25.4,8.5,39.6
14 Feb,0.0,0.0,0.0,0.0,27.3,31.0,25.2,8.3,38.9
15 Feb,0.0,0.0,0.0,0.0,27.3,30.8,25.0,9.2,39.6
16 Feb,0.0,0.0,0.0,0.0,27.3,31.2,25.2,8.4,39.2
17 Feb,0.0,0.0,0.0,0.0,27.2,31.1,25.2,8.6,36.4
18 Feb,0.0,0.0,0.0,0.0,27.5,32.4,25.2,7.7,31.3
19 Feb,0.0,0.0,0.0,0.0,27.3,31.8,25.0,7.8,34.6
20 Feb,0.0,0.0,0.0,0.0,27.4,31.6,25.1,9.4,45.7
21 Feb,0.0,0.0,0.0,0.0,27.1,30.1,25.5,9.4,40.7
22 Feb,0.0,0.0,0.0,0.0,27.6,32.0,24.8,10.6,44.6
23 Feb,0.0,0.0,0.0,0.0,27.0,30.8,24.5,8.1,44.6
24 Feb,0.0,0.0,0.0,0.0,26.7,31.3,24.4,8.8,38.9
25 Feb,0.0,0.0,0.0,0.0,26.8,31.1,24.1,7.7,37.1
26 Feb,0.0,0.0,0.0,0.0,27.0,31.4,24.4,8.4,37.8
27 Feb,0.0,0.0,0.0,0.0,27.3,31.8,24.6,9.2,41.0
28 Feb,0.0,0.0,0.0,0.0,27.1,31.4,25.0,9.4,40.0
1 Jan,0.0,0.0,0.0,0.0,26.4,29.0,24.4,7.4,40.3
2 Jan,0.0,0.0,0.0,0.0,27.1,30.6,25.0,7.1,35.6
3 Jan,0.8,0.4,0.6,0.8,26.7,30.5,25.1,6.7,37.8
4 Jan,23.8,17.0,23.6,23.8,26.5,31.9,24.2,4.8,34.9
5 Jan,5.6,1.4,2.6,4.2,24.7,25.9,23.5,5.9,31.0
6 Jan,26.8,6.2,7.6,12.0,25.0,26.4,23.6,4.6,32.0
7 Jan,0.0,0.0,0.0,0.0,26.5,30.2,24.2,5.2,25.2
8 Jan,0.0,0.0,0.0,0.0,27.1,32.0,24.7,6.9,34.9
9 Jan,2.0,1.8,1.8,1.8,25.8,28.9,24.1,4.4,30.6
10 Jan,0.0,0.0,0.0,0.0,27.1,32.1,24.0,4.3,27.4
11 Jan,3.2,2.6,3.0,3.0,26.7,31.6,23.9,7.8,45.0
12 Jan,0.2,0.2,0.2,0.2,26.0,28.5,24.9,8.0,40.3
13 Jan,0.0,0.0,0.0,0.0,26.6,29.4,24.8,9.5,41.8
14 Jan,0.0,0.0,0.0,0.0,26.4,29.7,24.5,8.3,40.7
15 Jan,0.0,0.0,0.0,0.0,25.7,28.1,24.4,8.5,37.4
16 Jan,0.0,0.0,0.0,0.0,25.8,28.7,24.0,9.0,39.6
17 Jan,0.0,0.0,0.0,0.0,25.8,28.9,23.7,10.1,44.3
18 Jan,0.0,0.0,0.0,0.0,25.7,28.4,24.0,9.7,43.6
19 Jan,0.0,0.0,0.0,0.0,25.7,29.0,23.6,8.8,41.8
20 Jan,0.0,0.0,0.0,0.0,25.7,29.6,23.8,9.3,44.3
21 Jan,0.0,0.0,0.0,0.0,25.6,29.0,23.7,9.0,41.4
22 Jan,0.0,0.0,0.0,0.0,25.3,28.6,23.4,9.3,43.2
23 Jan,0.0,0.0,0.0,0.0,25.5,29.1,23.5,8.7,38.9
24 Jan,0.0,0.0,0.0,0.0,25.4,28.3,23.5,9.3,42.8
25 Jan,0.0,0.0,0.0,0.0,25.5,29.1,23.8,8.2,32.8
26 Jan,0.0,0.0,0.0,0.0,25.4,29.5,23.3,7.8,38.9
27 Jan,0.0,0.0,0.0,0.0,25.5,29.1,23.3,9.3,41.0
28 Jan,0.0,0.0,0.0,0.0,26.1,29.5,24.2,9.4,44.3
29 Jan,0.0,0.0,0.0,0.0,26.2,29.9,23.9,9.4,44.6
30 Jan,0.0,0.0,0.0,0.0,25.8,30.1,23.3,8.7,39.6
31 Jan,0.0,0.0,0.0,0.0,26.0,30.3,23.5,9.2,39.6
